host_name,host_short_desc,host_long_desc,database,database_short_desc,database_long_desc,schema_name,schema_short_desc,schema_long_desc,table_name,table_short_desc,table_long_desc,col_name,col_short_desc,col_long_desc
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DSDBF01,,,#1REQD,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP1NBP,,,ABD27M2,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP1NBP,,,ABD6M1,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWOP1COPE,,,ACC,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP1A06,AUDIT - Blocked Accts with Financial Trns      (M),,ACC,Account Number,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWZP3AMT,,,ACC,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWIP1PROE,,,ACC,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1D2701,,,ACC_CLO,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWOP1L28A,,,ACC_KEY,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L2901,,,ACC_KEY,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0414,,,ACC_KEY,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0101,,,ACC_NM3,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0117,,,ACC_NUM,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0122,,,ACC_ONM,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0124,,,ACC_STS,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0101,,,ACC_TYP,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0111,,,ACC_VAL,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWOP8ACC,,,ACCOPNDT,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP1SA2M,,,ACCOTYC,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DTP,,,DWEP0SCI,,,ACCT,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP1CRO,,,ACCU,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP2MIS,,,ACOL1,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP2MIS,,,ACOL33,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWOP1IMP,,,ACT,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWIP0MVTA,,,ACT,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWIP0SLA,,,ACT,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP1A17,AUDIT - Accounts w/Cards > 1,,ACT,Account Type,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWIP1TSH,,,ACT,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWOP1L01,,,ADD_IO2,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L1614,,,ADD_LN1,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0314,,,ADD_LN2,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L0304,,,ADD_LN2,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L2829,,,ADD_MSG,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L2828,,,ADD_MSG,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L2901,,,ADD_MSG,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L2913,,,ADD_MSG,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWOP2A02,,,AFLG7,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,TRCP4HCA,,,AGREED_LIMIT_3,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,TRREFF,,,AGREED_LIMIT_5,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L1428,,,ALE_DET,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DMOP1D28,CONTIF Reports 28 - ClientesInstrumentos (Detail),,AMTTP,Amount Type,
SomeHostName,,,SomeDataBaseName,,,SCHE_DOP,,,DWOP1L1019,,,ANS_DAT,,
SomeHostName,,,SomeDataBaseName,,,SCHE_DBP,,,DWIP7CGL,,,AOD2,,
